fips,state,county,pm25_mean,monitor_count,total_observations
09009,Connecticut,New Haven,8.72509844158572,2.0,99034.0
09011,Connecticut,New London,7.613729861037074,1.0,33016.0
10001,Delaware,Kent,9.006050997369975,2.0,49049.0
10003,Delaware,New Castle,9.678962201380294,5.0,143013.0
10005,Delaware,Sussex,9.806617011784725,1.0,31736.0
11001,District Of Columbia,District of Columbia,8.778491500778829,4.0,138670.0
12001,Florida,Alachua,7.167677892942084,1.0,63489.0
12009,Florida,Brevard,6.953741780268376,1.0,32790.0
12011,Florida,Broward,8.01522308191675,5.0,161774.0
12031,Florida,Duval,7.846891825791171,4.0,96281.0
12033,Florida,Escambia,9.935202554326567,1.0,31191.0
12057,Florida,Hillsborough,8.045509062436352,2.0,44189.0
12073,Florida,Leon,8.556069533666614,1.0,6401.0
12085,Florida,Martin,7.194853418834054,1.0,32643.0
12086,Florida,Miami-Dade,7.9273289030105,4.0,35808.0
12095,Florida,Orange,7.4377355826466,1.0,31429.0
12099,Florida,Palm Beach,7.206892906917695,3.0,96882.0
12103,Florida,Pinellas,7.400307636204403,2.0,65655.0
12105,Florida,Polk,7.2414882848335385,1.0,27574.0
12115,Florida,Sarasota,7.4093274125355615,1.0,33042.0
12117,Florida,Seminole,6.900430701581712,1.0,31801.0
12127,Florida,Volusia,7.992396689148823,1.0,31803.0
13021,Georgia,Bibb,10.687492854625905,2.0,49947.0
13051,Georgia,Chatham,9.239234902857312,1.0,33878.0
13059,Georgia,Clarke,10.009331536188594,1.0,65283.0
13063,Georgia,Clayton,9.747934,1.0,968.0
13067,Georgia,Cobb,11.347455787684263,1.0,8412.0
13069,Georgia,Coffee,8.02597123033708,1.0,8544.0
13089,Georgia,DeKalb,10.232957259753677,1.0,36781.0
13095,Georgia,Dougherty,11.221914422939069,1.0,35712.0
13121,Georgia,Fulton,10.186249752083334,2.0,3840.0
13127,Georgia,Glynn,8.410685500484766,1.0,34037.0
13135,Georgia,Gwinnett,10.17136543375746,1.0,33166.0
13139,Georgia,Hall,10.632444134919268,1.0,29047.0
13153,Georgia,Houston,9.784395110802597,1.0,34214.0
13185,Georgia,Lowndes,9.994559784249947,1.0,33511.0
13215,Georgia,Muscogee,10.700673336052324,2.0,51980.0
13245,Georgia,Richmond,10.121489691461745,1.0,42374.0
13295,Georgia,Walker,11.757217801711757,1.0,34818.0
13303,Georgia,Washington,10.40842785713899,1.0,73897.0
15001,Hawaii,Hawaii,2.5985406779412332,10.0,153354.0
15003,Hawaii,Honolulu,4.451149047782243,3.0,81118.0
15009,Hawaii,Maui,3.9994170448957287,1.0,10981.0
16001,Idaho,Ada,5.811999621538463,1.0,2600.0
16009,Idaho,Benewah,9.148078650040883,1.0,9784.0
16027,Idaho,Canyon,7.297959078031212,2.0,6664.0
16041,Idaho,Franklin,6.259740285714286,1.0,2464.0
16059,Idaho,Lemhi,7.340037872180452,1.0,8512.0
16079,Idaho,Shoshone,9.663636079777365,1.0,8624.0
17019,Illinois,Champaign,9.296059868967125,2.0,34312.0
17031,Illinois,Cook,10.981302678815522,12.0,138120.0
17043,Illinois,DuPage,11.369312181484435,1.0,31325.0
17065,Illinois,Hamilton,9.12058974890152,1.0,32545.0
17083,Illinois,Jersey,8.9146330430807,1.0,32590.0
17089,Illinois,Kane,9.821666825,2.0,1920.0
17111,Illinois,McHenry,10.200129109375,1.0,32512.0
17113,Illinois,McLean,10.406633588031546,1.0,64670.0
17115,Illinois,Macon,10.473827776676924,1.0,32500.0
17119,Illinois,Madison,8.758357222205511,4.0,6647.0
17143,Illinois,Peoria,9.135399375832353,1.0,20424.0
17157,Illinois,Randolph,8.470097247482014,1.0,31970.0
17161,Illinois,Rock Island,10.79885045400758,1.0,32451.0
17163,Illinois,Saint Clair,11.266583068565401,1.0,32232.0
17167,Illinois,Sangamon,10.171551360928168,1.0,32494.0
17197,Illinois,Will,10.787163155556241,2.0,64774.0
17201,Illinois,Winnebago,11.161011026594602,1.0,32563.0
18003,Indiana,Allen,8.41374251552795,1.0,2576.0
18005,Indiana,Bartholomew,8.471809395295416,1.0,10883.0
18019,Indiana,Clark,10.826379273748115,1.0,47109.0
18035,Indiana,Delaware,8.25625,1.0,896.0
18037,Indiana,Dubois,9.195083572907155,1.0,6570.0
18039,Indiana,Elkhart,9.534095773833124,1.0,11098.0
18043,Indiana,Floyd,8.43078746478873,1.0,11573.0
18055,Indiana,Greene,8.950063179371618,1.0,30841.0
18057,Indiana,Hamilton,8.618226139933993,2.0,12120.0
18065,Indiana,Henry,10.099500775602646,1.0,32233.0
18067,Indiana,Howard,8.565699996876745,1.0,21452.0
18089,Indiana,Lake,10.837444344814926,6.0,163392.0
18091,Indiana,LaPorte,8.684034,1.0,952.0
18095,Indiana,Madison,10.1240940674693,1.0,33141.0
18097,Indiana,Marion,13.402382547692278,5.0,105342.0
18105,Indiana,Monroe,8.847916363900808,1.0,34721.0
18127,Indiana,Porter,9.73981651867368,1.0,11219.0
18141,Indiana,St. Joseph,10.61156260904168,1.0,48752.0
18147,Indiana,Spencer,8.704167,1.0,960.0
18157,Indiana,Tippecanoe,9.214397173874117,1.0,11169.0
18163,Indiana,Vanderburgh,9.975122566307206,2.0,48313.0
18167,Indiana,Vigo,10.137687408856353,1.0,33332.0
18183,Indiana,Whitley,10.596355053358991,1.0,34296.0
19013,Iowa,Black Hawk,9.44958,1.0,952.0
19045,Iowa,Clinton,11.684852208960647,2.0,66022.0
19103,Iowa,Johnson,10.84647891840636,1.0,53362.0
19111,Iowa,Lee,9.348333,1.0,480.0
19113,Iowa,Linn,11.739183481208642,1.0,66786.0
19137,Iowa,Montgomery,8.165,1.0,960.0
19139,Iowa,Muscatine,9.541906288956127,3.0,5288.0
19147,Iowa,Palo Alto,8.976667,1.0,960.0
19153,Iowa,Polk,9.435078228385201,2.0,38816.0
19155,Iowa,Pottawattamie,9.629999949999998,1.0,1440.0
19163,Iowa,Scott,10.962500239329662,2.0,65579.0
19177,Iowa,Van Buren,7.965,1.0,960.0
19193,Iowa,Woodbury,9.684746,1.0,944.0
20091,Kansas,Johnson,9.242905287370627,1.0,32947.0
20133,Kansas,Neosho,10.760837024720354,1.0,32362.0
20173,Kansas,Sedgwick,10.29012679007049,1.0,19578.0
20177,Kansas,Shawnee,9.456040830933642,1.0,31254.0
20181,Kansas,Sherman,4.582802545271631,1.0,8449.0
20191,Kansas,Sumner,9.02849178791693,1.0,30191.0
20195,Kansas,Trego,7.950423419527661,1.0,31545.0
20209,Kansas,Wyandotte,10.191407202775485,1.0,31562.0
21013,Kentucky,Bell,9.983483588393646,1.0,32689.0
21019,Kentucky,Boyd,8.80887880976896,1.0,32245.0
21037,Kentucky,Campbell,9.125494921745384,1.0,33391.0
21043,Kentucky,Carter,7.3123197144480265,1.0,32565.0
21047,Kentucky,Christian,9.131020853153379,1.0,32156.0
21059,Kentucky,Daviess,10.522770451019339,1.0,19130.0
21067,Kentucky,Fayette,8.673978999724682,1.0,32689.0
21093,Kentucky,Hardin,9.01686235862194,1.0,33032.0
21111,Kentucky,Jefferson,9.8991024095223,5.0,258782.0
21145,Kentucky,McCracken,8.90405120837931,1.0,31721.0
21193,Kentucky,Perry,9.349820172241166,1.0,32559.0
21195,Kentucky,Pike,7.623213502158271,1.0,31275.0
21199,Kentucky,Pulaski,8.635937894945,1.0,32364.0
21227,Kentucky,Warren,8.654117237001694,1.0,64970.0
22017,Louisiana,Caddo,9.389130760869564,1.0,736.0
22019,Louisiana,Calcasieu,10.606021805003053,2.0,32780.0
22033,Louisiana,East Baton Rouge,9.984352764952,1.0,34895.0
22047,Louisiana,Iberville,8.318644,1.0,944.0
22051,Louisiana,Jefferson,8.823954799856619,2.0,40451.0
22055,Louisiana,Lafayette,8.254167,1.0,960.0
22071,Louisiana,Orleans,7.369798337053572,1.0,10304.0
22073,Louisiana,Ouachita,8.402479,1.0,968.0
22079,Louisiana,Rapides,8.847059,1.0,952.0
22087,Louisiana,St. Bernard,9.646243972008397,1.0,32867.0
22105,Louisiana,Tangipahoa,7.788461296703297,1.0,1456.0
22109,Louisiana,Terrebonne,9.712174,1.0,920.0
